order id,Manufacturer_id,model_id,Vehicle_type id,Sales,Launch Date
134,26,133,1,"49,989 ",2012-12-04
135,27,134,1,"47,107 ",2011-07-07
136,27,135,2,"33,028 ",2012-09-10
137,28,136,1,"142,535 ",2011-04-11
138,28,137,1,"247,994 ",2011-02-10
139,28,138,1,"63,849 ",2011-08-31
140,28,139,1,"33,269 ",2012-12-29
141,28,140,2,"84,087 ",2011-08-01
142,28,141,2,"65,119 ",2012-10-05
143,28,142,2,"25,106 ",2011-05-06
144,28,143,2,"68,411 ",2011-03-07
145,28,144,2,"9,835 ",2011-09-25
146,29,145,1,"9,761 ",2011-01-24
147,29,146,1,"83,721 ",2011-08-27
148,29,147,1,"51,102 ",2012-10-30
149,29,148,1,"9,569 ",2011-05-31
150,29,149,1,"5,596 ",2011-04-01
151,29,150,1,"49,463 ",2011-10-20
152,30,151,1,"16,957 ",2011-02-18
153,30,152,1,"3,545 ",2011-09-21
154,30,153,1,"15,245 ",2012-11-24
155,30,154,1,"17,531 ",2011-06-25
156,30,155,1,"3,493 ",2011-04-26
157,30,156,1,"18,969 ",2011-11-14
